               m,        Re{E_x[1]} (V/m),        Im{E_x[1]} (V/m),        Re{E_y[1]} (V/m),        Im{E_y[1]} (V/m),        Re{E_z[1]} (V/m),        Im{E_z[1]} (V/m),        Re{E_x[2]} (V/m),        Im{E_x[2]} (V/m),        Re{E_y[2]} (V/m),        Im{E_y[2]} (V/m),        Re{E_z[2]} (V/m),        Im{E_z[2]} (V/m),        Re{E_x[3]} (V/m),        Im{E_x[3]} (V/m),        Re{E_y[3]} (V/m),        Im{E_y[3]} (V/m),        Re{E_z[3]} (V/m),        Im{E_z[3]} (V/m)
 1.000000000e+00,        +1.105720228e+03,        +1.457542771e+03,        +4.980901684e+02,        +6.566022435e+02,        -4.342843055e+00,        -5.724727821e+00,        +1.604927487e+03,        +2.115589741e+03,        +5.129708324e+02,        +6.762188506e+02,        -8.275857374e+00,        -1.090904475e+01,        +1.346555088e+03,        +1.775007494e+03,        +3.504039253e+02,        +4.619161001e+02,        -8.319483111e+00,        -1.096665418e+01
 2.000000000e+00,        -6.487977128e+02,        -6.736034753e+01,        +2.278667660e+03,        +2.366094997e+02,        -2.974544379e+00,        -3.088920286e-01,        -9.495629446e+02,        -9.858689203e+01,        +2.376942266e+03,        +2.468139710e+02,        +1.024393855e+01,        +1.063623005e+00,        -7.858410942e+02,        -8.158859724e+01,        +1.578348034e+03,        +1.638906061e+02,        +5.978509357e-01,        +6.201897041e-02
 3.000000000e+00,        -3.970628091e-01,        +3.191784587e-01,        -4.670419554e+00,        +3.754058461e+00,        +1.224006448e+03,        -9.838476405e+02,        +2.543004750e+00,        -2.044049098e+00,        +6.710008223e+00,        -5.393446297e+00,        -1.190159004e+03,        +9.566440335e+02,        +2.227949248e+00,        -1.790852081e+00,        +5.096353863e+00,        -4.096463414e+00,        -4.240096281e+02,        +3.408291779e+02
 4.000000000e+00,        -3.996042465e+00,        +1.512696575e+00,        +2.361628960e+00,        -8.939988346e-01,        -1.276769700e+03,        +4.833200167e+02,        -2.541360844e+00,        +9.620340839e-01,        -8.538091192e+00,        +3.232088928e+00,        +7.016659654e+02,        -2.656150718e+02,        +5.824000647e+00,        -2.204672099e+00,        +5.502087515e+00,        -2.082803549e+00,        -2.181785316e+03,        +8.259125955e+02
 5.000000000e+00,        +3.928232932e+02,        -1.401935134e+03,        +9.205071391e+00,        -3.283546766e+01,        -3.287260508e+01,        +1.173172032e+02,        -5.169431666e+02,        +1.844902773e+03,        +4.203014584e+00,        -1.499371780e+01,        +5.133118935e+01,        -1.831931213e+02,        +7.019087569e+02,        -2.505020915e+03,        -1.280033956e+00,        +4.559086916e+00,        -2.952420229e+00,        +1.053683479e+01
 6.000000000e+00,        +1.410655682e+02,        +1.048892712e+02,        -1.965425696e+03,        -1.461650678e+03,        +8.694815312e+01,        +6.466325949e+01,        -1.885062240e+02,        -1.401641533e+02,        -7.634199396e+02,        -5.677413059e+02,        -1.253899065e+02,        -9.325253413e+01,        +2.613079864e+02,        +1.942967287e+02,        +1.112979145e+03,        +8.277017822e+02,        -4.700772893e+00,        -3.495719544e+00
 7.000000000e+00,        +9.148151757e+02,        +2.841562510e+02,        -2.463625972e+03,        -7.663301603e+02,        +6.863393131e-01,        +2.147532443e-01,        +4.929112960e+02,        +1.531053957e+02,        +2.320918937e+03,        +7.219387675e+02,        +9.092277042e-01,        +2.840266649e-01,        -9.317240372e+02,        -2.894182342e+02,        -2.523956867e+03,        -7.850932974e+02,        +1.262894848e+01,        +3.925870743e+00
 8.000000000e+00,        +6.857616557e+02,        +2.666995836e+03,        +2.259821667e+02,        +8.804493749e+02,        -2.483170732e+00,        -9.659587107e+00,        +3.709282585e+02,        +1.442578252e+03,        -2.105224456e+02,        -8.202314533e+02,        -2.382907365e+00,        -9.269714038e+00,        -6.797440372e+02,        -2.643578438e+03,        +2.253012238e+02,        +8.778351331e+02,        +3.538241812e+00,        +1.375602457e+01
