               m,             Re{f} (GHz),             Im{f} (GHz),                       Q,           Error (Bkwd.),            Error (Abs.)
 1.000000000e+00,        +2.062550463e+01,        +1.596635143e-10,        +6.459053817e+10,        +1.178169366e-10,        +9.444363755e-08
 2.000000000e+00,        +2.062555453e+01,        +1.174792325e-10,        +8.778383244e+10,        +1.347179889e-10,        +1.079917528e-07
 3.000000000e+00,        +2.154645577e+01,        +1.316934959e-10,        +8.180531479e+10,        +8.004628331e-11,        +6.422088371e-08
 4.000000000e+00,        +2.154648207e+01,        -3.681211002e-10,        +2.926548093e+10,        +8.173611385e-11,        +6.557663112e-08
 5.000000000e+00,        +2.172180621e+01,        -5.448918895e-10,        +1.993221649e+10,        +7.632004898e-11,        +6.124152742e-08
 6.000000000e+00,        +2.172188416e+01,        +7.826099027e-10,        +1.387784903e+10,        +1.083327940e-10,        +8.692953368e-08
 7.000000000e+00,        +2.376341760e+01,        -4.513452205e-10,        +2.632510164e+10,        +1.120478168e-10,        +9.009368022e-08
 8.000000000e+00,        +2.376344858e+01,        +4.700689033e-10,        +2.527655883e+10,        +1.623270466e-10,        +1.305214320e-07
