               m,      Re{B_x[1]} (Wb/m²),      Im{B_x[1]} (Wb/m²),      Re{B_y[1]} (Wb/m²),      Im{B_y[1]} (Wb/m²),      Re{B_z[1]} (Wb/m²),      Im{B_z[1]} (Wb/m²),      Re{B_x[2]} (Wb/m²),      Im{B_x[2]} (Wb/m²),      Re{B_y[2]} (Wb/m²),      Im{B_y[2]} (Wb/m²),      Re{B_z[2]} (Wb/m²),      Im{B_z[2]} (Wb/m²),      Re{B_x[3]} (Wb/m²),      Im{B_x[3]} (Wb/m²),      Re{B_y[3]} (Wb/m²),      Im{B_y[3]} (Wb/m²),      Re{B_z[3]} (Wb/m²),      Im{B_z[3]} (Wb/m²)
 1.000000000e+00,        +3.216925712e-07,        -2.440319763e-07,        -7.168799568e-07,        +5.438389863e-07,        +1.328707686e-06,        -1.007999139e-06,        -3.323377159e-07,        +2.521071559e-07,        +1.051138487e-06,        -7.974141012e-07,        +1.121028825e-06,        -8.504200369e-07,        -2.822029358e-08,        +2.140801488e-08,        -4.867438288e-09,        +3.692550105e-09,        -2.267364835e-06,        +1.720043291e-06
 2.000000000e+00,        +1.153131647e-07,        -1.110523284e-06,        +3.221504201e-08,        -3.102879967e-07,        -2.608937907e-07,        +2.512642292e-06,        -1.202560832e-07,        +1.158126160e-06,        -4.906763165e-08,        +4.726063704e-07,        +1.281544802e-07,        -1.234152614e-06,        -4.049761719e-09,        +3.900029599e-08,        +6.882089605e-10,        -6.628004712e-09,        -1.956935298e-07,        +1.884538378e-06
 3.000000000e+00,        -2.532152316e-06,        -3.150243974e-06,        -2.643645019e-06,        -3.288914569e-06,        -7.738492346e-09,        -9.627448540e-09,        -3.351869347e-06,        -4.170056055e-06,        +2.182280171e-06,        +2.714911240e-06,        +1.120312271e-09,        +1.393794658e-09,        +3.241049625e-06,        +4.032172989e-06,        -1.072138072e-06,        -1.333834532e-06,        +3.310069225e-09,        +4.118089156e-09
 4.000000000e+00,        +5.929577040e-07,        +1.566395396e-06,        -1.619817429e-06,        -4.279017525e-06,        +2.111170990e-09,        +5.576959308e-09,        +1.041790285e-06,        +2.752060796e-06,        +2.964370959e-06,        +7.830878629e-06,        -2.183197829e-09,        -5.767265690e-09,        -2.614786610e-07,        -6.907381522e-07,        -3.274866103e-07,        -8.651106383e-07,        -3.348239725e-09,        -8.844862928e-09
 5.000000000e+00,        -1.484745173e-07,        -4.160506537e-08,        +7.513424911e-07,        +2.105269285e-07,        -1.633320795e-06,        -4.576544997e-07,        +6.469477495e-08,        +1.812840993e-08,        +9.886512465e-07,        +2.770210457e-07,        +5.456768396e-07,        +1.528979506e-07,        +5.598138458e-09,        +1.568485587e-09,        +2.826039331e-08,        +7.918562309e-09,        +2.038476292e-06,        +5.711785941e-07
 6.000000000e+00,        -7.577254945e-07,        +1.018882120e-06,        +1.391840151e-09,        -1.858248754e-09,        +1.160008439e-06,        -1.559848456e-06,        +2.770831179e-07,        -3.725820257e-07,        -4.928918368e-09,        +6.645405959e-09,        -3.968068618e-07,        +5.335808591e-07,        -3.332751706e-08,        +4.481431331e-08,        -1.025590976e-09,        +1.379612079e-09,        -1.444095718e-06,        +1.941857052e-06
 7.000000000e+00,        -3.323868500e-07,        +1.068570706e-06,        -1.254519576e-07,        +4.038628569e-07,        -5.104641377e-07,        +1.640750382e-06,        -3.268841362e-07,        +1.050875790e-06,        +6.891973287e-08,        -2.218669440e-07,        -1.228899226e-06,        +3.952831036e-06,        +1.460802255e-08,        -4.696347565e-08,        -4.573792814e-09,        +1.471740253e-08,        +4.525193011e-07,        -1.454130153e-06
 8.000000000e+00,        +3.785073344e-07,        -9.714889483e-08,        -1.135254735e-06,        +2.919088978e-07,        +1.296700505e-06,        -3.331124258e-07,        +3.831336512e-07,        -9.834085262e-08,        +6.149601438e-07,        -1.581255564e-07,        -3.474749225e-06,        +8.938644713e-07,        -1.452175687e-08,        +3.726335803e-09,        -2.573436406e-08,        +6.618035873e-09,        -2.006531470e-06,        +5.156220589e-07
