               m,                    p[1]
 1.000000000e+00,        -9.982861199e-01
 2.000000000e+00,        -9.219973622e-04
 3.000000000e+00,        -6.812768670e-08
 4.000000000e+00,        +2.555278548e-07
 5.000000000e+00,        -7.488664719e-06
 6.000000000e+00,        -2.722898666e-07
