               m,             Re{f} (GHz),             Im{f} (GHz),                       Q,           Error (Bkwd.),            Error (Abs.)
 1.000000000e+00,        +1.515753609e+00,        +1.279886247e-16,        +5.921438772e+15,        +1.273129969e-17,        +3.317808909e-12
 2.000000000e+00,        +3.887131643e+00,        -2.191513155e-15,        +8.868602121e+14,        +3.383823152e-17,        +8.818331525e-12
 3.000000000e+00,        +7.232784563e+00,        +2.480126957e-12,        +1.458148048e+12,        +1.080466703e-13,        +2.815727030e-08
 4.000000000e+00,        +7.878814690e+00,        +3.160179146e-10,        +1.246577223e+10,        +2.531814443e-11,        +6.597982198e-06
 5.000000000e+00,        +8.632726897e+00,        -2.819502927e-10,        +1.530895183e+10,        +5.974678684e-12,        +1.557019148e-06
 6.000000000e+00,        +9.521942411e+00,        -4.503932347e-10,        +1.057069875e+10,        +7.069264284e-12,        +1.842272163e-06
