               m,            Re{I[1]} (A),            Im{I[1]} (A)
 1.000000000e+00,        -1.813463711e-03,        +1.120080294e-02
 2.000000000e+00,        -2.288107017e-04,        +2.579796823e-04
 3.000000000e+00,        -1.918943141e-06,        +2.259187109e-06
 4.000000000e+00,        +4.100234868e-06,        -4.017823623e-06
 5.000000000e+00,        -2.868886480e-05,        -1.194758109e-05
 6.000000000e+00,        -5.903904275e-06,        -5.103965120e-07
