               m,            Re{V[1]} (V),            Im{V[1]} (V)
 1.000000000e+00,        -1.103611108e+01,        -1.786799309e+00
 2.000000000e+00,        -6.518580720e-01,        -5.781544558e-01
 3.000000000e+00,        -1.062174879e-02,        -9.022064575e-03
 4.000000000e+00,        +2.057737865e-02,        +2.099944979e-02
 5.000000000e+00,        +6.704498285e-02,        -1.609902820e-01
 6.000000000e+00,        +3.159159430e-03,        -3.654291209e-02
