               m,             Re{f} (GHz),             Im{f} (GHz),                       Q,           Error (Bkwd.),            Error (Abs.)
 1.000000000e+00,        +9.635693442e+00,        +5.103638835e-08,        +9.440022848e+07,        +2.727542053e-12,        +1.655629131e-05
 2.000000000e+00,        +1.523533216e+01,        -1.051655492e-08,        +7.243499550e+08,        +2.101690013e-11,        +1.280533528e-04
 3.000000000e+00,        +1.523538923e+01,        -1.148619424e-07,        +6.632044044e+07,        +6.510470625e-12,        +3.966748786e-05
 4.000000000e+00,        +1.927151926e+01,        -2.060095486e-08,        +4.677336412e+08,        +1.619746928e-12,        +9.905904426e-06
