               m,      Re{B_x[1]} (Wb/m²),      Im{B_x[1]} (Wb/m²),      Re{B_y[1]} (Wb/m²),      Im{B_y[1]} (Wb/m²),      Re{B_z[1]} (Wb/m²),      Im{B_z[1]} (Wb/m²),      Re{B_x[2]} (Wb/m²),      Im{B_x[2]} (Wb/m²),      Re{B_y[2]} (Wb/m²),      Im{B_y[2]} (Wb/m²),      Re{B_z[2]} (Wb/m²),      Im{B_z[2]} (Wb/m²),      Re{B_x[3]} (Wb/m²),      Im{B_x[3]} (Wb/m²),      Re{B_y[3]} (Wb/m²),      Im{B_y[3]} (Wb/m²),      Re{B_z[3]} (Wb/m²),      Im{B_z[3]} (Wb/m²)
 1.000000000e+00,        -2.313034647e-07,        +1.493928074e-07,        -8.417501472e-07,        +5.436653281e-07,        +2.237002097e-06,        -1.444823165e-06,        +2.495740256e-07,        -1.611932895e-07,        +1.242493107e-06,        -8.024951535e-07,        +4.334744903e-07,        -2.799706968e-07,        -1.264575289e-08,        +8.167597315e-09,        -1.327224340e-08,        +8.572219161e-09,        -1.110930603e-06,        +7.175228798e-07
 2.000000000e+00,        +6.653526171e-07,        -1.056232556e-06,        -1.188841020e-07,        +1.887277840e-07,        -6.490311307e-07,        +1.030318229e-06,        -6.807367246e-07,        +1.080654472e-06,        +1.675805870e-07,        -2.660332895e-07,        +9.237150673e-07,        -1.466378883e-06,        -9.262945897e-09,        +1.470476519e-08,        +3.016359862e-09,        -4.788378936e-09,        -1.578136637e-06,        +2.505260594e-06
 3.000000000e+00,        +2.487051183e-07,        -7.927070103e-08,        -7.753590906e-07,        +2.471223617e-07,        +1.413844256e-06,        -4.506154522e-07,        -9.106996537e-08,        +2.902706338e-08,        -1.088007916e-06,        +3.467697049e-07,        -4.796016176e-07,        +1.528570076e-07,        -1.221262442e-08,        +3.892439522e-09,        -6.329246897e-09,        +2.017244328e-09,        -1.719866443e-06,        +5.481498234e-07
 4.000000000e+00,        +1.007166818e-06,        -8.920860138e-07,        +5.366978579e-08,        -4.753724680e-08,        -1.533982672e-06,        +1.358706669e-06,        -3.661982250e-07,        +3.243557108e-07,        +9.419489905e-08,        -8.343191867e-08,        +5.000822311e-07,        -4.429417307e-07,        -1.283403022e-08,        +1.136750293e-08,        +5.318942573e-11,        -4.718522423e-11,        +1.842334273e-06,        -1.631825504e-06
 5.000000000e+00,        -8.707509325e-08,        +4.936134165e-07,        -1.438392651e-06,        +8.171705833e-06,        +4.176515327e-09,        -2.372727998e-08,        +1.039772081e-07,        -5.893802514e-07,        +7.703784828e-07,        -4.376819308e-06,        +2.766195061e-09,        -1.571390716e-08,        +3.425348161e-07,        -1.944174547e-06,        +3.059712219e-07,        -1.738369644e-06,        +3.352089651e-10,        -1.903351400e-09
 6.000000000e+00,        +4.206475599e-06,        +1.676812089e-06,        -2.251386019e-06,        -8.968825566e-07,        +6.418056070e-09,        +2.556760262e-09,        -5.218388908e-06,        -2.080185832e-06,        +1.989421057e-06,        +7.927190850e-07,        -6.231916267e-10,        -2.494987978e-10,        -6.806839377e-06,        -2.713464405e-06,        +9.046040041e-07,        +3.604722662e-07,        -4.052996739e-09,        -1.615798472e-09
 7.000000000e+00,        -1.013214939e-07,        -1.415153900e-08,        +1.342216384e-06,        +1.900860318e-07,        -8.555357083e-07,        -1.208441955e-07,        -5.819523496e-08,        -8.049143959e-09,        -6.716767771e-07,        -9.512335278e-08,        +4.364085215e-06,        +6.184523753e-07,        +2.216943245e-08,        +3.138417849e-09,        -1.646767482e-08,        -2.331162539e-09,        +1.537101930e-06,        +2.173654183e-07
 8.000000000e+00,        -8.991213857e-07,        +8.998764303e-07,        -8.640626121e-08,        +8.621025177e-08,        -1.399879617e-06,        +1.401193795e-06,        -8.780537816e-07,        +8.787830089e-07,        +4.234679704e-08,        -4.224797691e-08,        -2.142087807e-06,        +2.142971567e-06,        +4.423669806e-09,        -4.431679724e-09,        -3.493328452e-09,        +3.499480722e-09,        +1.369052750e-06,        -1.370477132e-06
