               m,             Re{f} (GHz),             Im{f} (GHz),                       Q,           Error (Bkwd.),            Error (Abs.)
 1.000000000e+00,        +2.247222710e+01,        -2.336068511e-10,        +4.809839052e+10,        +6.655979374e-11,        +5.781272765e-08
 2.000000000e+00,        +2.247229508e+01,        +1.329829467e-10,        +8.449314609e+10,        +6.175552369e-11,        +5.363982237e-08
 3.000000000e+00,        +2.348245030e+01,        -1.264366011e-10,        +9.286254966e+10,        +1.036021316e-10,        +9.007964453e-08
 4.000000000e+00,        +2.348256976e+01,        +4.523851474e-10,        +2.595417853e+10,        +2.591878202e-10,        +2.253578111e-07
 5.000000000e+00,        +2.456688939e+01,        -8.031027564e-10,        +1.529498510e+10,        +1.327420750e-10,        +1.155492564e-07
 6.000000000e+00,        +2.456691498e+01,        -8.702356245e-10,        +1.411509382e+10,        +1.303394234e-10,        +1.134578006e-07
 7.000000000e+00,        +2.538291123e+01,        +3.534847958e-10,        +3.590382320e+10,        +1.166017520e-10,        +1.015908990e-07
 8.000000000e+00,        +2.538293071e+01,        -7.135938493e-10,        +1.778527852e+10,        +1.316935253e-10,        +1.147398190e-07
