               m,      Re{B_x[1]} (Wb/m²),      Im{B_x[1]} (Wb/m²),      Re{B_y[1]} (Wb/m²),      Im{B_y[1]} (Wb/m²),      Re{B_z[1]} (Wb/m²),      Im{B_z[1]} (Wb/m²),      Re{B_x[2]} (Wb/m²),      Im{B_x[2]} (Wb/m²),      Re{B_y[2]} (Wb/m²),      Im{B_y[2]} (Wb/m²),      Re{B_z[2]} (Wb/m²),      Im{B_z[2]} (Wb/m²),      Re{B_x[3]} (Wb/m²),      Im{B_x[3]} (Wb/m²),      Re{B_y[3]} (Wb/m²),      Im{B_y[3]} (Wb/m²),      Re{B_z[3]} (Wb/m²),      Im{B_z[3]} (Wb/m²)
 1.000000000e+00,        +1.198358586e-07,        +1.950664924e-07,        +5.557989306e-07,        +9.049131559e-07,        -1.405627047e-06,        -2.288480165e-06,        -8.936588939e-08,        -1.454601259e-07,        -7.307866135e-07,        -1.189813418e-06,        -3.342324267e-07,        -5.442318853e-07,        -1.112730992e-09,        -1.811384296e-09,        +3.305765525e-09,        +5.381355974e-09,        +7.661684494e-07,        +1.247509828e-06
 2.000000000e+00,        -1.112277953e-06,        -5.198163878e-07,        +1.782437741e-07,        +8.333251347e-08,        +1.306727367e-06,        +6.106222075e-07,        +1.049113313e-06,        +4.902980812e-07,        -1.656521740e-07,        -7.745733888e-08,        -1.699752044e-06,        -7.943970508e-07,        +7.515556871e-09,        +3.512328433e-09,        -2.295244041e-08,        -1.072663347e-08,        +2.656995928e-06,        +1.241788412e-06
 3.000000000e+00,        +9.225948794e-07,        -8.373784342e-07,        +1.090210122e-07,        -9.894990301e-08,        -1.740609625e-06,        +1.579833823e-06,        -4.261878111e-07,        +3.868223664e-07,        +1.489142696e-07,        -1.351580336e-07,        +5.520997272e-07,        -5.011036019e-07,        -5.949033716e-08,        +5.399539392e-08,        +1.411372060e-08,        -1.281005604e-08,        +1.965296903e-06,        -1.783767203e-06
 4.000000000e+00,        -2.084120316e-07,        +2.903115402e-07,        +5.418876096e-07,        -7.548265424e-07,        -7.365159737e-07,        +1.025931735e-06,        +2.692506527e-08,        -3.750652937e-08,        +6.840438038e-07,        -9.528440515e-07,        +2.575708207e-07,        -3.587840312e-07,        -8.355691716e-09,        +1.163900964e-08,        +9.460586616e-09,        -1.317817084e-08,        +8.829580612e-07,        -1.229918875e-06
 5.000000000e+00,        -2.702795149e-06,        +3.524229845e-06,        +1.558402355e-06,        -2.032090344e-06,        -2.476398377e-08,        +3.229039968e-08,        +3.458493065e-06,        -4.509601414e-06,        -1.467624920e-06,        +1.913698453e-06,        +1.264064909e-09,        -1.648161346e-09,        +4.536039573e-06,        -5.914628346e-06,        -6.301552495e-07,        +8.216852365e-07,        -5.035114319e-08,        +6.565381135e-08
 6.000000000e+00,        +7.001573605e-07,        +2.088369805e-07,        +7.883169435e-06,        +2.350741360e-06,        -1.115346556e-08,        -3.325499872e-09,        -6.910472719e-07,        -2.061339238e-07,        -4.268579698e-06,        -1.272868374e-06,        -2.576885474e-09,        -7.685491636e-10,        -2.135770827e-06,        -6.369716614e-07,        -1.688074558e-06,        -5.033742573e-07,        +2.467799476e-08,        +7.359930768e-09
 7.000000000e+00,        -1.767662160e-07,        -5.975791292e-07,        +3.177248988e-07,        +1.074074494e-06,        -4.724899138e-07,        -1.597291161e-06,        -1.944375553e-07,        -6.573176905e-07,        -1.577061923e-07,        -5.331271463e-07,        +8.839495043e-07,        +2.988163086e-06,        +6.653413885e-09,        +2.249161559e-08,        -1.070462114e-08,        -3.618703509e-08,        +6.450113192e-07,        +2.180500732e-06
 8.000000000e+00,        +3.639637335e-07,        -1.013510411e-06,        +1.962847863e-07,        -5.465988256e-07,        +5.232038282e-07,        -1.456930031e-06,        +3.590718873e-07,        -9.998878000e-07,        -1.333040756e-07,        +3.712129284e-07,        +1.692436883e-06,        -4.712901218e-06,        +1.373657763e-08,        -3.825201633e-08,        -9.452452962e-09,        +2.632228557e-08,        -3.645000633e-07,        +1.014987065e-06
