               m,              E_elec (J),               E_mag (J),               E_cap (J),               E_ind (J)
 1.000000000e+00,        +6.671281904e-03,        +1.184775005e-05,        +0.000000000e+00,        +6.659386179e-03
 2.000000000e+00,        +6.671281904e-03,        +6.665019951e-03,        +0.000000000e+00,        +6.261212135e-06
 3.000000000e+00,        +6.671281904e-03,        +1.047293222e-07,        +0.000000000e+00,        +1.131312313e-09
 4.000000000e+00,        +6.671281904e-03,        +6.199622641e-08,        +0.000000000e+00,        +1.962777522e-10
 5.000000000e+00,        +6.671281904e-03,        +6.671004560e-03,        +0.000000000e+00,        +2.126696415e-07
 6.000000000e+00,        +6.671281904e-03,        +5.628076389e-07,        +0.000000000e+00,        +2.143624573e-08
 7.000000000e+00,        +6.671281904e-03,        +2.624589684e-07,        +0.000000000e+00,        +6.777950245e-09
 8.000000000e+00,        +6.671281904e-03,        +6.670452269e-03,        +0.000000000e+00,        +4.152083486e-07
 9.000000000e+00,        +6.671281904e-03,        +4.760060284e-07,        +0.000000000e+00,        +4.209729522e-09
