               m,                    p[1]
 1.000000000e+00,        -9.982168757e-01
 2.000000000e+00,        +9.385320880e-04
 3.000000000e+00,        -1.695794496e-07
 4.000000000e+00,        +2.942129490e-08
 5.000000000e+00,        +3.187837728e-05
 6.000000000e+00,        +3.213212399e-06
 7.000000000e+00,        -1.015989182e-06
 8.000000000e+00,        +6.223816571e-05
 9.000000000e+00,        +6.310225805e-07
