               m,      Re{B_x[1]} (Wb/m²),      Im{B_x[1]} (Wb/m²),      Re{B_y[1]} (Wb/m²),      Im{B_y[1]} (Wb/m²),      Re{B_z[1]} (Wb/m²),      Im{B_z[1]} (Wb/m²),      Re{B_x[2]} (Wb/m²),      Im{B_x[2]} (Wb/m²),      Re{B_y[2]} (Wb/m²),      Im{B_y[2]} (Wb/m²),      Re{B_z[2]} (Wb/m²),      Im{B_z[2]} (Wb/m²),      Re{B_x[3]} (Wb/m²),      Im{B_x[3]} (Wb/m²),      Re{B_y[3]} (Wb/m²),      Im{B_y[3]} (Wb/m²),      Re{B_z[3]} (Wb/m²),      Im{B_z[3]} (Wb/m²)
 1.000000000e+00,        +1.174083107e-08,        -3.003877953e-08,        -3.697133772e-07,        +9.457449196e-07,        +8.691417617e-07,        -2.223298980e-06,        -1.340143222e-09,        +3.433017773e-09,        +4.796571109e-07,        -1.226986241e-06,        +3.400489787e-07,        -8.698692805e-07,        -4.564159783e-09,        +1.167570268e-08,        +2.688292421e-08,        -6.876787428e-08,        -7.613862373e-07,        +1.947675333e-06
 2.000000000e+00,        +4.510260917e-07,        -1.092294399e-06,        +5.306135463e-09,        -1.285103732e-08,        -7.056023713e-07,        +1.708828443e-06,        -4.211638895e-07,        +1.019974192e-06,        -6.698386340e-09,        +1.622300025e-08,        +6.235209806e-07,        -1.510041709e-06,        -3.030979820e-08,        +7.340427759e-08,        -1.369500226e-09,        +3.316721576e-09,        -1.034061550e-06,        +2.504287681e-06
 3.000000000e+00,        -2.873447714e-06,        +3.142894087e-06,        -1.514676955e-06,        +1.656694169e-06,        -3.658613533e-09,        +4.001753121e-09,        -4.226666260e-06,        +4.623007290e-06,        +2.723645428e-07,        -2.978800084e-07,        -6.574320005e-08,        +7.190799590e-08,        +3.376936070e-06,        -3.693591339e-06,        -8.325332963e-07,        +9.105972075e-07,        +6.065238187e-09,        -6.633936441e-09
 4.000000000e+00,        -1.394406673e-07,        +8.234207354e-08,        +4.948268666e-06,        -2.923480943e-06,        -2.333239849e-08,        +1.378483293e-08,        -7.999789699e-07,        +4.725721935e-07,        -7.796633108e-06,        +4.606290385e-06,        -1.170952582e-09,        +6.908998336e-10,        -1.027530232e-06,        +6.071167253e-07,        +1.138811172e-06,        -6.728265046e-07,        -9.277399202e-09,        +5.481228668e-09
 5.000000000e+00,        +4.268181568e-07,        -2.693050870e-07,        +6.166531216e-07,        -3.890971145e-07,        -2.072377842e-06,        +1.307618363e-06,        -1.723642949e-07,        +1.087545596e-07,        +8.391195213e-07,        -5.294699393e-07,        +6.682761608e-07,        -4.216658395e-07,        +2.756558603e-08,        -1.739294518e-08,        -3.334015566e-08,        +2.103695791e-08,        +2.552192927e-06,        -1.610369644e-06
 6.000000000e+00,        -9.323136150e-07,        -6.305990929e-07,        +3.509415459e-07,        +2.373668607e-07,        +6.728760185e-07,        +4.551280380e-07,        +4.165495730e-07,        +2.817461537e-07,        +5.340529977e-07,        +3.612186968e-07,        -1.707966820e-07,        -1.155261109e-07,        -3.762983880e-08,        -2.545221026e-08,        -9.709814621e-09,        -6.567372002e-09,        -8.255673035e-07,        -5.584072799e-07
 7.000000000e+00,        +2.530973515e-07,        +5.463920598e-07,        +4.779960476e-07,        +1.031882615e-06,        +1.321925490e-07,        +2.853945862e-07,        +2.461186389e-07,        +5.313257802e-07,        -3.165192963e-07,        -6.832916910e-07,        +2.250278425e-06,        +4.857857226e-06,        -1.349879695e-08,        -2.914156566e-08,        +9.280408320e-09,        +2.003419691e-08,        +1.040089288e-07,        +2.245086770e-07
 8.000000000e+00,        +6.158717705e-07,        +9.315764303e-07,        -3.263695369e-07,        -4.936674748e-07,        +1.180396187e-06,        +1.785482107e-06,        +5.869028193e-07,        +8.877576826e-07,        +2.105372445e-07,        +3.184591821e-07,        +1.285025747e-07,        +1.943881487e-07,        -3.192306137e-08,        -4.828725151e-08,        -9.481931639e-09,        -1.434243486e-08,        -1.391584525e-06,        -2.104926626e-06
