               m,             Re{f} (GHz),             Im{f} (GHz),                       Q,           Error (Bkwd.),            Error (Abs.)
 1.000000000e+00,        +2.062757006e+01,        +3.672166510e-11,        +2.808637626e+11,        +5.126388045e-11,        +2.982640170e-08
 2.000000000e+00,        +2.062788621e+01,        -3.596137762e-10,        +2.868061178e+10,        +4.370128919e-11,        +2.542634126e-08
 3.000000000e+00,        +2.154775922e+01,        -1.013582926e-09,        +1.062949990e+10,        +7.058178767e-11,        +4.113274461e-08
 4.000000000e+00,        +2.154808155e+01,        +1.314048927e-09,        +8.199116910e+09,        +8.384380414e-11,        +4.886144005e-08
 5.000000000e+00,        +2.172347690e+01,        -8.681347598e-10,        +1.251158110e+10,        +7.284823716e-11,        +4.246706030e-08
 6.000000000e+00,        +2.172373911e+01,        +1.675904297e-09,        +6.481199181e+09,        +7.853963730e-11,        +4.578489793e-08
 7.000000000e+00,        +2.376697182e+01,        -1.157578601e-09,        +1.026581340e+10,        +8.582897426e-11,        +5.022872199e-08
 8.000000000e+00,        +2.376737435e+01,        +1.333337154e-09,        +8.912739837e+09,        +6.203000829e-11,        +3.630115065e-08
