               m,             Re{f} (GHz),             Im{f} (GHz),                       Q,           Error (Bkwd.),            Error (Abs.)
 1.000000000e+00,        +9.635896241e+00,        +3.304736247e-09,        +1.457891874e+09,        +2.071051385e-12,        +9.947128959e-06
 2.000000000e+00,        +1.523545129e+01,        +1.131015611e-09,        +6.735296640e+09,        +2.021497504e-11,        +9.770773914e-05
 3.000000000e+00,        +1.523570396e+01,        +6.934578748e-09,        +1.098531325e+09,        +9.530849190e-12,        +4.606674258e-05
 4.000000000e+00,        +1.927229929e+01,        -2.755498354e-09,        +3.497062384e+09,        +1.844929409e-12,        +8.973621879e-06
