               m,             Re{f} (GHz),             Im{f} (GHz),                       Q,           Error (Bkwd.),            Error (Abs.)
 1.000000000e+00,        +9.635693442e+00,        +5.103634827e-08,        +9.440030262e+07,        +2.727540785e-12,        +1.655628361e-05
 2.000000000e+00,        +1.523533216e+01,        -1.051654752e-08,        +7.243504646e+08,        +2.101690452e-11,        +1.280533796e-04
 3.000000000e+00,        +1.523538923e+01,        -1.148615488e-07,        +6.632066771e+07,        +6.510472792e-12,        +3.966750107e-05
 4.000000000e+00,        +1.927151926e+01,        -2.060104932e-08,        +4.677314965e+08,        +1.619744565e-12,        +9.905889975e-06
