               m,              E_elec (J),               E_mag (J),               E_cap (J),               E_ind (J)
 1.000000000e+00,        +3.669205047e-02,        +3.669205024e-02,        +0.000000000e+00,        +0.000000000e+00
 2.000000000e+00,        +3.669205047e-02,        +3.669205012e-02,        +0.000000000e+00,        +0.000000000e+00
 3.000000000e+00,        +3.669205047e-02,        +3.669204863e-02,        +0.000000000e+00,        +0.000000000e+00
 4.000000000e+00,        +3.669205047e-02,        +3.669205049e-02,        +0.000000000e+00,        +0.000000000e+00
