               m,        Re{E_x[1]} (V/m),        Im{E_x[1]} (V/m),        Re{E_y[1]} (V/m),        Im{E_y[1]} (V/m),        Re{E_z[1]} (V/m),        Im{E_z[1]} (V/m),        Re{E_x[2]} (V/m),        Im{E_x[2]} (V/m),        Re{E_y[2]} (V/m),        Im{E_y[2]} (V/m),        Re{E_z[2]} (V/m),        Im{E_z[2]} (V/m),        Re{E_x[3]} (V/m),        Im{E_x[3]} (V/m),        Re{E_y[3]} (V/m),        Im{E_y[3]} (V/m),        Re{E_z[3]} (V/m),        Im{E_z[3]} (V/m)
 1.000000000e+00,        -1.266944033e+00,        -1.329730244e+00,        +8.205181518e-01,        +8.611805967e-01,        +2.548389866e+03,        +2.674680814e+03,        -9.790766862e-02,        -1.027551535e-01,        -3.317522219e+00,        -3.481929417e+00,        +3.851711556e+03,        +4.042591197e+03,        +3.742580348e+00,        +3.928052876e+00,        -6.885942149e-01,        -7.227175539e-01,        +2.069505569e+03,        +2.172064401e+03
 2.000000000e+00,        +9.533714302e+00,        -1.429986907e+01,        +1.076110948e+01,        -1.613918083e+01,        -3.744966988e+03,        +5.619895494e+03,        +4.837797919e+00,        -7.249371405e+00,        +1.467208649e+00,        -2.208486942e+00,        +1.283021116e+03,        -1.918310910e+03,        -3.626307168e+00,        +5.424717935e+00,        +1.878703635e-01,        -2.784685745e-01,        -7.761783244e+02,        +1.157979926e+03
 3.000000000e+00,        +2.521522536e+00,        -3.269691569e-01,        +4.414414758e+00,        -5.647376532e-01,        +1.522900890e+03,        -1.851579234e+02,        +7.731359864e+00,        -9.709397617e-01,        -6.809202305e+00,        +8.476859376e-01,        +6.004622267e+03,        -7.508623031e+02,        -1.433943159e+01,        +1.793840295e+00,        +3.128275468e+00,        -3.905555966e-01,        -5.966512388e+03,        +7.454502988e+02
 4.000000000e+00,        +1.085973998e+01,        -2.431161672e+01,        +1.178276085e+01,        -2.637797627e+01,        -2.539521643e+03,        +5.685207615e+03,        -2.434879886e+00,        +5.450979751e+00,        -6.958014756e+00,        +1.557685275e+01,        +1.293761371e+03,        -2.896333739e+03,        +8.740720832e+00,        -1.956779100e+01,        -1.908152611e+00,        +4.271769486e+00,        +2.478506789e+03,        -5.548613908e+03
