               m,                    p[1]
 1.000000000e+00,        +9.982989962e-01
 2.000000000e+00,        +9.093879301e-04
 3.000000000e+00,        +1.882190014e-07
 4.000000000e+00,        -3.539928540e-07
 5.000000000e+00,        +1.944971480e-07
 6.000000000e+00,        -1.084477187e-07
 7.000000000e+00,        +3.628768676e-06
 8.000000000e+00,        -7.776676734e-06
