               m,            Re{V[1]} (V),            Im{V[1]} (V)
 1.000000000e+00,        +9.197762220e+00,        +9.410942848e+00
 2.000000000e+00,        +6.893812899e-01,        +6.436431348e-01
 3.000000000e+00,        +1.542149106e-02,        +2.163591433e-02
 4.000000000e+00,        -2.667244397e-02,        -2.804147409e-02
 5.000000000e+00,        +1.659047018e-02,        +2.482569137e-02
 6.000000000e+00,        -1.669654990e-02,        -1.507530664e-02
 7.000000000e+00,        +1.322178909e-01,        +1.518544939e-02
 8.000000000e+00,        +1.971890863e-01,        -2.683460561e-02
