               m,            Re{I[1]} (A),            Im{I[1]} (A)
 1.000000000e+00,        +8.114732961e-03,        -7.930914623e-03
 2.000000000e+00,        +2.337122962e-04,        -2.503202093e-04
 3.000000000e+00,        +4.012037697e-06,        -2.859671311e-06
 4.000000000e+00,        -4.895756298e-06,        +4.656737556e-06
 5.000000000e+00,        +4.164121970e-06,        -2.782792242e-06
 6.000000000e+00,        -2.506250767e-06,        +2.775780421e-06
 7.000000000e+00,        +2.468379059e-06,        -2.149188112e-05
 8.000000000e+00,        -4.270366637e-06,        -3.137999148e-05
