               m,            Re{I[1]} (A),            Im{I[1]} (A)
 1.000000000e+00,        +5.530755793e-03,        -9.907645291e-03
 2.000000000e+00,        +2.473792468e-04,        -2.373366894e-04
 3.000000000e+00,        -1.815303693e-05,        +3.055851474e-06
 4.000000000e+00,        +4.363740665e-06,        +4.082432960e-06
 5.000000000e+00,        -1.347575533e-06,        -4.056846289e-06
 6.000000000e+00,        -7.192777070e-05,        -1.573498748e-05
