               m,            Re{V[1]} (V),            Im{V[1]} (V)
 1.000000000e+00,        +1.101015675e+01,        +6.146211985e+00
 2.000000000e+00,        +6.306383887e-01,        +6.573229365e-01
 3.000000000e+00,        -1.809479037e-02,        -1.074906293e-01
 4.000000000e+00,        -2.725940341e-02,        +2.913776376e-02
 5.000000000e+00,        +2.926842896e-02,        -9.722187127e-03
 6.000000000e+00,        +1.210637423e-01,        -5.534065476e-01
