               m,             Re{f} (GHz),             Im{f} (GHz),                       Q,           Error (Bkwd.),            Error (Abs.)
 1.000000000e+00,        +1.709561611e+00,        +2.145098184e-15,        +3.984809701e+14,        +1.546079355e-17,        +1.276961599e-12
 2.000000000e+00,        +4.087683186e+00,        -6.097270018e-15,        +3.352060163e+14,        +6.045384410e-17,        +4.993101265e-12
 3.000000000e+00,        +9.109258337e+00,        +3.987966521e-10,        +1.142093130e+10,        +3.553627567e-12,        +2.935082185e-07
 4.000000000e+00,        +1.027209411e+01,        +1.358735626e-10,        +3.780019424e+10,        +1.404808628e-12,        +1.160288986e-07
 5.000000000e+00,        +1.109871152e+01,        +1.164448179e-10,        +4.765652830e+10,        +1.068144065e-12,        +8.822249642e-08
 6.000000000e+00,        +1.183612104e+01,        +1.064498959e-09,        +5.559479856e+09,        +3.459067705e-11,        +2.856992233e-06
