               m,                    p[1]
 1.000000000e+00,        +9.983175827e-01
 2.000000000e+00,        +9.112763978e-04
 3.000000000e+00,        -2.627565281e-06
 4.000000000e+00,        +2.768793980e-07
 5.000000000e+00,        -1.416941262e-07
 6.000000000e+00,        -4.203529405e-05
