               m,              E_elec (J),               E_mag (J),               E_cap (J),               E_ind (J)
 1.000000000e+00,        +6.671281904e-03,        +1.110591770e-05,        +0.000000000e+00,        +6.660058024e-03
 2.000000000e+00,        +6.671281904e-03,        +6.665200411e-03,        +0.000000000e+00,        +6.079381742e-06
 3.000000000e+00,        +6.671281904e-03,        +3.526764520e-07,        +0.000000000e+00,        +1.752922871e-08
 4.000000000e+00,        +6.671281904e-03,        +2.120551466e-07,        +0.000000000e+00,        +1.847140517e-09
 5.000000000e+00,        +6.671281904e-03,        +2.161046968e-07,        +0.000000000e+00,        +9.452814599e-10
 6.000000000e+00,        +6.671281904e-03,        +6.665545182e-03,        +0.000000000e+00,        +2.804292966e-07
