               m,              E_elec (J),               E_mag (J),               E_cap (J),               E_ind (J)
 1.000000000e+00,        +6.671281904e-03,        +9.940725916e-06,        +0.000000000e+00,        +6.661341145e-03
 2.000000000e+00,        +6.671281904e-03,        +6.665053460e-03,        +0.000000000e+00,        +6.228325997e-06
 3.000000000e+00,        +6.671281904e-03,        +3.686326179e-07,        +0.000000000e+00,        +2.275320615e-11
 4.000000000e+00,        +6.671281904e-03,        +3.115925884e-07,        +0.000000000e+00,        +9.248630074e-14
 5.000000000e+00,        +6.671281904e-03,        +3.360471453e-07,        +0.000000000e+00,        +2.063988012e-13
 6.000000000e+00,        +6.671281904e-03,        +3.547821498e-07,        +0.000000000e+00,        +2.474620173e-13
 7.000000000e+00,        +6.671281904e-03,        +4.134725062e-07,        +0.000000000e+00,        +2.254142286e-13
 8.000000000e+00,        +6.671281904e-03,        +4.966694083e-07,        +0.000000000e+00,        +1.715098284e-13
 9.000000000e+00,        +6.671281904e-03,        +6.671153722e-03,        +0.000000000e+00,        +1.263256800e-07
