               m,            Re{V[1]} (V),            Im{V[1]} (V)
 1.000000000e+00,        +4.734910449e+00,        +7.112637342e+00
 2.000000000e+00,        +8.278217946e-01,        -9.301665735e-02
 3.000000000e+00,        +7.235022520e-04,        +2.796150958e-03
 4.000000000e+00,        -7.664037401e-05,        -1.778031123e-04
 5.000000000e+00,        -1.077191390e-04,        -2.797335863e-04
 6.000000000e+00,        +1.242915668e-04,        -3.228423674e-04
 7.000000000e+00,        +3.235654721e-04,        +1.365208662e-04
 8.000000000e+00,        +2.782272074e-04,        +1.519316529e-04
 9.000000000e+00,        -3.007181990e-01,        -1.093459464e-01
