               m,                    p[1]
 1.000000000e+00,        +9.985099177e-01
 2.000000000e+00,        -9.336025799e-04
 3.000000000e+00,        +3.410619799e-09
 4.000000000e+00,        -1.386334771e-11
 5.000000000e+00,        -3.093840197e-11
 6.000000000e+00,        -3.709362322e-11
 7.000000000e+00,        +3.378874283e-11
 8.000000000e+00,        +2.570867651e-11
 9.000000000e+00,        -1.893574305e-05
