               m,            Re{I[1]} (A),            Im{I[1]} (A)
 1.000000000e+00,        +9.446243287e-03,        -6.288401038e-03
 2.000000000e+00,        -3.874546704e-05,        -3.448236366e-04
 3.000000000e+00,        +6.420735821e-07,        -1.661361241e-07
 4.000000000e+00,        -3.883018737e-08,        +1.673739028e-08
 5.000000000e+00,        -5.894738842e-08,        +2.269931905e-08
 6.000000000e+00,        -6.454725795e-08,        -2.485014556e-08
 7.000000000e+00,        +2.566176991e-08,        -6.082046594e-08
 8.000000000e+00,        +2.759683887e-08,        -5.053714131e-08
 9.000000000e+00,        -1.688728472e-05,        +4.644263472e-05
