               m,             Re{f} (GHz),             Im{f} (GHz),                       Q,           Error (Bkwd.),            Error (Abs.)
 1.000000000e+00,        +1.158332505e+00,        -1.710216783e-13,        +3.386507829e+12,        +1.262634881e-17,        +1.997729408e-12
 2.000000000e+00,        +3.693188998e+00,        +8.391126758e-11,        +2.200651417e+10,        +3.411566901e-17,        +5.397754061e-12
 3.000000000e+00,        +6.699424816e+00,        +2.820972499e-11,        +1.187431784e+11,        +3.786445437e-12,        +5.990895133e-07
 4.000000000e+00,        +7.044198362e+00,        -9.086459796e-12,        +3.876206202e+11,        +8.602410750e-14,        +1.361069536e-08
 5.000000000e+00,        +7.300317505e+00,        -2.115618677e-11,        +1.725338688e+11,        +6.073639452e-14,        +9.609686975e-09
 6.000000000e+00,        +7.694394165e+00,        -1.349930320e-10,        +2.849922715e+10,        +2.741502744e-13,        +4.337595730e-08
 7.000000000e+00,        +8.184160416e+00,        +8.224683988e-11,        +4.975364663e+10,        +6.164458559e-14,        +9.753388596e-09
 8.000000000e+00,        +8.469360702e+00,        -1.147944978e-10,        +3.688922755e+10,        +1.782378740e-13,        +2.820075317e-08
 9.000000000e+00,        +9.961037312e+00,        +9.571053033e-11,        +5.203731124e+10,        +5.554783822e-12,        +8.788779982e-07
