               m,             Re{f} (GHz),             Im{f} (GHz),                       Q,           Error (Bkwd.),            Error (Abs.)
 1.000000000e+00,        +9.635896241e+00,        +3.304755348e-09,        +1.457883448e+09,        +2.071047957e-12,        +9.947112499e-06
 2.000000000e+00,        +1.523545129e+01,        +1.131009114e-09,        +6.735335335e+09,        +2.021494287e-11,        +9.770758365e-05
 3.000000000e+00,        +1.523570396e+01,        +6.934561869e-09,        +1.098533998e+09,        +9.530896367e-12,        +4.606697061e-05
 4.000000000e+00,        +1.927229929e+01,        -2.755501200e-09,        +3.497058773e+09,        +1.844940098e-12,        +8.973673870e-06
