               m,                    p[1]
 1.000000000e+00,        -9.985647137e-01
 2.000000000e+00,        +7.781308392e-04
 3.000000000e+00,        +9.058151661e-06
 4.000000000e+00,        -1.100249168e-05
 5.000000000e+00,        -8.605176639e-06
 6.000000000e+00,        +2.368540548e-06
