               m,              E_elec (J),               E_mag (J),               E_cap (J),               E_ind (J)
 1.000000000e+00,        +6.671281904e-03,        +9.351654082e-06,        +0.000000000e+00,        +6.661706705e-03
 2.000000000e+00,        +6.671281904e-03,        +6.666075919e-03,        +0.000000000e+00,        +5.191130186e-06
 3.000000000e+00,        +6.671281904e-03,        +2.493326207e-07,        +0.000000000e+00,        +6.042948326e-08
 4.000000000e+00,        +6.671281904e-03,        +3.964314230e-07,        +0.000000000e+00,        +7.340072366e-08
 5.000000000e+00,        +6.671281904e-03,        +3.329055709e-07,        +0.000000000e+00,        +5.740755919e-08
 6.000000000e+00,        +6.671281904e-03,        +3.864470858e-07,        +0.000000000e+00,        +1.580120169e-08
