               m,            Re{I[1]} (A),            Im{I[1]} (A)
 1.000000000e+00,        -6.696950009e-03,        -9.161518833e-03
 2.000000000e+00,        +2.400880991e-04,        -2.066674327e-04
 3.000000000e+00,        +1.937935383e-05,        +2.815402956e-05
 4.000000000e+00,        -1.669830380e-05,        -3.376584653e-05
 5.000000000e+00,        -4.763253905e-06,        -3.297121492e-05
 6.000000000e+00,        +1.513651226e-05,        -8.737914954e-06
