               m,             Re{f} (GHz),             Im{f} (GHz),                       Q,           Error (Bkwd.),            Error (Abs.)
 1.000000000e+00,        +1.461886595e+00,        +5.375219098e-13,        +1.359839077e+12,        +1.892470258e-17,        +2.505077239e-12
 2.000000000e+00,        +3.885511214e+00,        -1.032116486e-10,        +1.882302659e+10,        +4.989020308e-17,        +6.604008178e-12
 3.000000000e+00,        +5.088915010e+00,        +2.535177187e-11,        +1.003660619e+11,        +7.395572053e-17,        +9.789586099e-12
 4.000000000e+00,        +6.039804406e+00,        -7.165156585e-12,        +4.214705104e+11,        +2.555784960e-15,        +3.383117568e-10
 5.000000000e+00,        +7.177901519e+00,        +5.784925126e-10,        +6.203970978e+09,        +1.464304843e-11,        +1.938316066e-06
 6.000000000e+00,        +8.706861807e+00,        -3.388455639e-10,        +1.284783207e+10,        +1.617874144e-11,        +2.141599920e-06
