               m,            Re{V[1]} (V),            Im{V[1]} (V)
 1.000000000e+00,        +8.706015936e+00,        -6.363983371e+00
 2.000000000e+00,        +5.219855811e-01,        +6.063970714e-01
 3.000000000e+00,        -9.313309920e-02,        +6.410660609e-02
 4.000000000e+00,        +1.325680329e-01,        -6.555918229e-02
 5.000000000e+00,        +1.538405207e-01,        -2.222488503e-02
 6.000000000e+00,        +4.945472147e-02,        +8.566940761e-02
