               m,      Re{B_x[1]} (Wb/m²),      Im{B_x[1]} (Wb/m²),      Re{B_y[1]} (Wb/m²),      Im{B_y[1]} (Wb/m²),      Re{B_z[1]} (Wb/m²),      Im{B_z[1]} (Wb/m²),      Re{B_x[2]} (Wb/m²),      Im{B_x[2]} (Wb/m²),      Re{B_y[2]} (Wb/m²),      Im{B_y[2]} (Wb/m²),      Re{B_z[2]} (Wb/m²),      Im{B_z[2]} (Wb/m²),      Re{B_x[3]} (Wb/m²),      Im{B_x[3]} (Wb/m²),      Re{B_y[3]} (Wb/m²),      Im{B_y[3]} (Wb/m²),      Re{B_z[3]} (Wb/m²),      Im{B_z[3]} (Wb/m²)
 1.000000000e+00,        -2.313034629e-07,        +1.493928073e-07,        -8.417501443e-07,        +5.436653331e-07,        +2.237002088e-06,        -1.444823176e-06,        +2.495740237e-07,        -1.611932895e-07,        +1.242493102e-06,        -8.024951609e-07,        +4.334744900e-07,        -2.799707012e-07,        -1.264575287e-08,        +8.167597407e-09,        -1.327224331e-08,        +8.572219224e-09,        -1.110930602e-06,        +7.175228894e-07
 2.000000000e+00,        -6.632884231e-07,        +1.057530038e-06,        +1.185152841e-07,        -1.889596179e-07,        +6.470175522e-07,        -1.031583878e-06,        +6.786248026e-07,        -1.081981953e-06,        -1.670606970e-07,        +2.663600857e-07,        -9.208493355e-07,        +1.468180190e-06,        +9.234208616e-09,        -1.472282858e-08,        -3.007001766e-09,        +4.794261013e-09,        +1.573240633e-06,        -2.508338068e-06
 3.000000000e+00,        +2.487049309e-07,        -7.927124426e-08,        -7.753585614e-07,        +2.471240246e-07,        +1.413843316e-06,        -4.506184707e-07,        -9.106989677e-08,        +2.902726228e-08,        -1.088007174e-06,        +3.467720382e-07,        -4.796012983e-07,        +1.528580317e-07,        -1.221261585e-08,        +3.892465849e-09,        -6.329242581e-09,        +2.017257895e-09,        -1.719865299e-06,        +5.481534954e-07
 4.000000000e+00,        +1.003885428e-06,        -8.957770385e-07,        +5.349492769e-08,        -4.773393405e-08,        -1.528984895e-06,        +1.364328348e-06,        -3.650051365e-07,        +3.256977394e-07,        +9.388800829e-08,        -8.377712088e-08,        +4.984529435e-07,        -4.447744123e-07,        -1.279221674e-08,        +1.141453657e-08,        +5.301584939e-11,        -4.738015457e-11,        +1.836331874e-06,        -1.638577218e-06
 5.000000000e+00,        -8.707820909e-08,        +4.936129195e-07,        -1.438442673e-06,        +8.171697000e-06,        +4.176660577e-09,        -2.372725433e-08,        +1.039809327e-07,        -5.893796596e-07,        +7.704052576e-07,        -4.376814570e-06,        +2.766291362e-09,        -1.571389022e-08,        +3.425468764e-07,        -1.944172507e-06,        +3.059818537e-07,        -1.738367761e-06,        +3.352206966e-10,        -1.903349381e-09
 6.000000000e+00,        -4.219441401e-06,        -1.643913051e-06,        +2.258320888e-06,        +8.792742430e-07,        -6.437825416e-09,        -2.506564013e-09,        +5.234473760e-06,        +2.039372573e-06,        -1.995550581e-06,        -7.771596661e-07,        +6.251212124e-10,        +2.446250007e-10,        +6.827821027e-06,        +2.660227819e-06,        -9.073912812e-07,        -3.533972906e-07,        +4.065490794e-09,        +1.584099863e-09
 7.000000000e+00,        +1.013214081e-07,        +1.415199495e-08,        -1.342215416e-06,        -1.900928812e-07,        +8.555350709e-07,        +1.208484632e-07,        +5.819518063e-08,        +8.049381449e-09,        +6.716762927e-07,        +9.512678031e-08,        -4.364082094e-06,        -6.184747710e-07,        -2.216941640e-08,        -3.138530569e-09,        +1.646766292e-08,        +2.331246241e-09,        -1.537100801e-06,        -2.173731632e-07
 8.000000000e+00,        -8.991273683e-07,        +8.998704574e-07,        -8.640686033e-08,        +8.620958867e-08,        -1.399888919e-06,        +1.401184542e-06,        -8.780596247e-07,        +8.787771733e-07,        +4.234709090e-08,        -4.224765101e-08,        -2.142102142e-06,        +2.142957034e-06,        +4.423698854e-09,        -4.431651773e-09,        -3.493351406e-09,        +3.499458600e-09,        +1.369061835e-06,        -1.370468129e-06
