               m,        Re{E_x[1]} (V/m),        Im{E_x[1]} (V/m),        Re{E_y[1]} (V/m),        Im{E_y[1]} (V/m),        Re{E_z[1]} (V/m),        Im{E_z[1]} (V/m),        Re{E_x[2]} (V/m),        Im{E_x[2]} (V/m),        Re{E_y[2]} (V/m),        Im{E_y[2]} (V/m),        Re{E_z[2]} (V/m),        Im{E_z[2]} (V/m),        Re{E_x[3]} (V/m),        Im{E_x[3]} (V/m),        Re{E_y[3]} (V/m),        Im{E_y[3]} (V/m),        Re{E_z[3]} (V/m),        Im{E_z[3]} (V/m)
 1.000000000e+00,        +1.085634012e+03,        +1.680873386e+03,        -2.925389791e+02,        -4.529353568e+02,        -3.623969582e+00,        -5.610947893e+00,        +1.572618547e+03,        +2.434865374e+03,        -3.092811778e+02,        -4.788571323e+02,        -1.471834339e+01,        -2.278822177e+01,        +1.311177764e+03,        +2.030079922e+03,        -2.040616876e+02,        -3.159467906e+02,        -5.169724754e+00,        -8.004220774e+00
 2.000000000e+00,        -3.711244250e+02,        -2.327688228e+02,        -2.107015522e+03,        -1.321531237e+03,        -2.706356266e+00,        -1.697445061e+00,        -5.326755114e+02,        -3.340934542e+02,        -2.196132724e+03,        -1.377426027e+03,        +1.018764504e+01,        +6.389711560e+00,        -4.482355964e+02,        -2.811328625e+02,        -1.451488181e+03,        -9.103810396e+02,        -1.076600367e+00,        -6.752613171e-01
 3.000000000e+00,        +4.641069792e+02,        +1.456149997e+03,        +8.397793480e+01,        +2.634624833e+02,        -3.876049184e+01,        -1.216113324e+02,        -6.081743377e+02,        -1.908165765e+03,        +3.285502934e+01,        +1.030755473e+02,        +6.192428594e+01,        +1.942879855e+02,        +8.241344511e+02,        +2.585747320e+03,        -4.684178629e+01,        -1.469558291e+02,        -2.930998298e+00,        -9.196078592e+00
 4.000000000e+00,        -2.036997552e+02,        -2.282837851e+02,        +1.712567597e+03,        +1.919251773e+03,        -5.891239142e+01,        -6.602232580e+01,        +2.641600970e+02,        +2.960409159e+02,        +6.649825180e+02,        +7.452370452e+02,        +8.818800271e+01,        +9.883109691e+01,        -3.607815939e+02,        -4.043234331e+02,        -9.612899928e+02,        -1.077304929e+03,        -6.258284877e-02,        -7.012888057e-02
 5.000000000e+00,        -4.287257261e-01,        -7.558911245e-02,        -6.260413972e-01,        -1.098640474e-01,        +4.821300257e+02,        +8.477467184e+01,        -1.329183157e+01,        -2.339994667e+00,        +4.204485124e+00,        +7.405171434e-01,        -9.491782908e+01,        -1.678227309e+01,        -4.731853499e+00,        -8.330748725e-01,        +6.406346544e+00,        +1.127705822e+00,        -2.975430198e+03,        -5.238301953e+02
 6.000000000e+00,        +1.095064353e+00,        -2.810647357e+00,        -3.056941603e+00,        +7.846562385e+00,        +8.916258635e+02,        -2.288673184e+03,        +9.849401064e-01,        -2.525775091e+00,        -3.301254484e+00,        +8.472749857e+00,        +6.561347108e+02,        -1.684122789e+03,        +6.906503974e-01,        -1.771941960e+00,        +6.069025723e-01,        -1.558866095e+00,        +3.353024350e+02,        -8.601174994e+02
 7.000000000e+00,        -4.291297499e+02,        +3.030042325e+03,        -3.384089492e+01,        +2.420717329e+02,        +1.318705954e+00,        -9.305890637e+00,        -2.316147124e+02,        +1.635428807e+03,        +3.082288635e+01,        -2.205957823e+02,        +1.886561951e+00,        -1.331043555e+01,        +4.237927253e+02,        -2.992365242e+03,        -3.190834150e+01,        +2.284736552e+02,        -1.651453198e+00,        +1.166628363e+01
 8.000000000e+00,        +1.780751405e+02,        +1.785338423e+02,        -2.013780325e+03,        -2.012114421e+03,        -4.033750227e+00,        -4.032362152e+00,        +8.283314725e+01,        +8.309139041e+01,        +1.907261711e+03,        +1.905685652e+03,        -7.546801820e+00,        -7.543386463e+00,        -1.712334490e+02,        -1.716901610e+02,        -2.045416322e+03,        -2.043727701e+03,        -2.917885707e+00,        -2.913221065e+00
