               m,      Re{B_x[1]} (Wb/m²),      Im{B_x[1]} (Wb/m²),      Re{B_y[1]} (Wb/m²),      Im{B_y[1]} (Wb/m²),      Re{B_z[1]} (Wb/m²),      Im{B_z[1]} (Wb/m²),      Re{B_x[2]} (Wb/m²),      Im{B_x[2]} (Wb/m²),      Re{B_y[2]} (Wb/m²),      Im{B_y[2]} (Wb/m²),      Re{B_z[2]} (Wb/m²),      Im{B_z[2]} (Wb/m²),      Re{B_x[3]} (Wb/m²),      Im{B_x[3]} (Wb/m²),      Re{B_y[3]} (Wb/m²),      Im{B_y[3]} (Wb/m²),      Re{B_z[3]} (Wb/m²),      Im{B_z[3]} (Wb/m²)
 1.000000000e+00,        +3.216925769e-07,        -2.440319755e-07,        -7.168799572e-07,        +5.438389839e-07,        +1.328707678e-06,        -1.007999134e-06,        -3.323377219e-07,        +2.521071551e-07,        +1.051138488e-06,        -7.974140977e-07,        +1.121028833e-06,        -8.504200335e-07,        -2.822029382e-08,        +2.140801479e-08,        -4.867438271e-09,        +3.692550087e-09,        -2.267364849e-06,        +1.720043284e-06
 2.000000000e+00,        +1.153103039e-07,        -1.110523581e-06,        +3.221424239e-08,        -3.102880789e-07,        -2.608873170e-07,        +2.512642962e-06,        -1.202530997e-07,        +1.158126470e-06,        -4.906641373e-08,        +4.726064957e-07,        +1.281513012e-07,        -1.234152946e-06,        -4.049661253e-09,        +3.900030645e-08,        +6.881918832e-10,        -6.628006480e-09,        -1.956886756e-07,        +1.884538884e-06
 3.000000000e+00,        -2.532140857e-06,        -3.150253192e-06,        -2.643633074e-06,        -3.288924151e-06,        -7.738457319e-09,        -9.627476718e-09,        -3.351854176e-06,        -4.170068262e-06,        +2.182270326e-06,        +2.714919119e-06,        +1.120307185e-09,        +1.393798773e-09,        +3.241034962e-06,        +4.032184779e-06,        -1.072133225e-06,        -1.333838424e-06,        +3.310054219e-09,        +4.118101254e-09
 4.000000000e+00,        -5.929522968e-07,        -1.566397316e-06,        +1.619802838e-06,        +4.279023181e-06,        -2.111151767e-09,        -5.576966202e-09,        -1.041780806e-06,        -2.752064217e-06,        -2.964344205e-06,        -7.830888866e-06,        +2.183178076e-09,        +5.767273108e-09,        +2.614762367e-07,        +6.907389077e-07,        +3.274836703e-07,        +8.651118049e-07,        +3.348209404e-09,        +8.844874247e-09
 5.000000000e+00,        -1.540418989e-07,        +6.837891726e-09,        +7.795120310e-07,        -3.461387190e-08,        -1.694556573e-06,        +7.524951188e-08,        +6.712059990e-08,        -2.979623113e-09,        +1.025718020e-06,        -4.554657074e-08,        +5.661351154e-07,        -2.514017564e-08,        +5.807988482e-09,        -2.580151443e-10,        +2.931993084e-08,        -1.301965536e-09,        +2.114901995e-06,        -9.391561053e-08
 6.000000000e+00,        -7.577293471e-07,        +1.018879252e-06,        +1.391840066e-09,        -1.858236942e-09,        +1.160014355e-06,        -1.559844082e-06,        +2.770845267e-07,        -3.725809771e-07,        -4.928952803e-09,        +6.645395870e-09,        -3.968088853e-07,        +5.335793628e-07,        -3.332768664e-08,        +4.481418730e-08,        -1.025596465e-09,        +1.379608448e-09,        -1.444103083e-06,        +1.941851607e-06
 7.000000000e+00,        -3.712963630e-07,        +1.055681478e-06,        -1.401577946e-07,        +3.989977345e-07,        -5.702081781e-07,        +1.620955919e-06,        -3.651493291e-07,        +1.038199949e-06,        +7.699856150e-08,        -2.191941869e-07,        -1.372832787e-06,        +3.905175618e-06,        +1.631808832e-08,        -4.639700813e-08,        -5.109695443e-09,        +1.454003196e-08,        +5.054679326e-07,        -1.436582889e-06
 8.000000000e+00,        -3.818112503e-07,        +8.322205486e-08,        +1.145183477e-06,        -2.501377347e-07,        -1.308029968e-06,        +2.854012196e-07,        -3.864781152e-07,        +8.424378742e-08,        -6.203384935e-07,        +1.354983873e-07,        +3.505153332e-06,        -7.660123517e-07,        +1.464848293e-08,        -3.192021453e-09,        +2.595946661e-08,        -5.671151260e-09,        +2.024068637e-06,        -4.417929655e-07
