               m,             Re{f} (GHz),             Im{f} (GHz),                       Q,           Error (Bkwd.),            Error (Abs.)
 1.000000000e+00,        +2.062550463e+01,        +1.596220338e-10,        +6.460732312e+10,        +1.178169367e-10,        +9.444363761e-08
 2.000000000e+00,        +2.062555453e+01,        +1.174090712e-10,        +8.783629036e+10,        +1.347179889e-10,        +1.079917528e-07
 3.000000000e+00,        +2.154645577e+01,        +1.317390633e-10,        +8.177701903e+10,        +8.004628061e-11,        +6.422088154e-08
 4.000000000e+00,        +2.154648207e+01,        -3.676374520e-10,        +2.930398135e+10,        +8.173611540e-11,        +6.557663237e-08
 5.000000000e+00,        +2.172180621e+01,        -5.446872949e-10,        +1.993970340e+10,        +7.632005391e-11,        +6.124153138e-08
 6.000000000e+00,        +2.172188416e+01,        +7.827237297e-10,        +1.387583085e+10,        +1.083327916e-10,        +8.692953175e-08
 7.000000000e+00,        +2.376341760e+01,        -4.516901880e-10,        +2.630499647e+10,        +1.120477923e-10,        +9.009366055e-08
 8.000000000e+00,        +2.376344858e+01,        +4.702065772e-10,        +2.526915799e+10,        +1.623270491e-10,        +1.305214340e-07
