               m,             Re{f} (GHz),             Im{f} (GHz),                       Q,           Error (Bkwd.),            Error (Abs.)
 1.000000000e+00,        +9.635690415e+00,        +1.931869802e-11,        +2.493876762e+11,        +1.912928474e-11,        +1.593701247e-07
 2.000000000e+00,        +1.523532673e+01,        +9.397647697e-11,        +8.105925662e+10,        +3.477846175e-11,        +2.905168082e-07
 3.000000000e+00,        +1.523532815e+01,        -1.210675551e-10,        +6.292077237e+10,        +2.503352896e-11,        +2.091139335e-07
 4.000000000e+00,        +1.927124890e+01,        +3.243507570e-11,        +2.970742089e+11,        +6.153784697e-12,        +5.154099896e-08
 5.000000000e+00,        +2.154581314e+01,        -3.125121198e-10,        +3.447196409e+10,        +7.618714500e-11,        +6.392297059e-07
