               m,        Re{E_x[1]} (V/m),        Im{E_x[1]} (V/m),        Re{E_y[1]} (V/m),        Im{E_y[1]} (V/m),        Re{E_z[1]} (V/m),        Im{E_z[1]} (V/m),        Re{E_x[2]} (V/m),        Im{E_x[2]} (V/m),        Re{E_y[2]} (V/m),        Im{E_y[2]} (V/m),        Re{E_z[2]} (V/m),        Im{E_z[2]} (V/m),        Re{E_x[3]} (V/m),        Im{E_x[3]} (V/m),        Re{E_y[3]} (V/m),        Im{E_y[3]} (V/m),        Re{E_z[3]} (V/m),        Im{E_z[3]} (V/m)
 1.000000000e+00,        +1.908114931e+00,        +1.785312339e+00,        -2.820656985e+00,        -2.639124285e+00,        +2.699238742e+03,        +2.525521395e+03,        +1.898757906e-01,        +1.776553285e-01,        -3.964162681e+00,        -3.709037889e+00,        +4.079038385e+03,        +3.816520026e+03,        -1.623431339e+00,        -1.518950040e+00,        -1.705640965e-01,        -1.595936588e-01,        +2.191543233e+03,        +2.050500104e+03
 2.000000000e+00,        -4.486347653e+00,        -2.374651766e+00,        +9.565946986e+00,        +5.062512842e+00,        -5.991426507e+03,        -3.171545814e+03,        +1.351072064e+00,        +7.168689723e-01,        +2.028174828e+00,        +1.070893653e+00,        -3.730527849e+02,        -1.962821249e+02,        +4.422418864e+00,        +2.343495582e+00,        -1.323162149e+00,        -7.004487308e-01,        +1.093397630e+03,        +5.776396522e+02
 3.000000000e+00,        +3.301540548e-02,        +3.252903612e-03,        +4.181811195e+00,        +1.552457895e-01,        +1.422686159e+03,        +5.694700755e+01,        -9.580974491e+00,        -3.661085486e-01,        +1.447318552e+01,        +5.512409898e-01,        -6.468209096e+03,        -2.465912000e+02,        -1.484467468e+01,        -5.682860404e-01,        +4.785176160e-01,        +1.885170784e-02,        +6.050333100e+03,        +2.303282081e+02
 4.000000000e+00,        +7.092849984e+00,        +3.602884210e+00,        -1.163589492e+01,        -5.910562840e+00,        +5.555563644e+03,        +2.822002598e+03,        +5.812558547e+00,        +2.952545393e+00,        +1.192084129e+01,        +6.055307316e+00,        -2.830101415e+03,        -1.437577545e+03,        +1.552638489e+01,        +7.886777869e+00,        +4.056820186e-01,        +2.060710905e-01,        -5.426656599e+03,        -2.756523007e+03
 5.000000000e+00,        +7.880764530e-01,        +2.055240563e+00,        +9.762822425e-01,        +2.547317994e+00,        -1.254856894e+03,        -3.273219734e+03,        -3.809796654e+00,        -9.937527233e+00,        -4.568366162e+00,        -1.191650341e+01,        +7.526026229e+02,        +1.963186861e+03,        +1.091421709e+01,        +2.846652509e+01,        -9.495188247e-01,        -2.476495005e+00,        -1.826414341e+03,        -4.763765965e+03
