               m,      Re{B_x[1]} (Wb/m²),      Im{B_x[1]} (Wb/m²),      Re{B_y[1]} (Wb/m²),      Im{B_y[1]} (Wb/m²),      Re{B_z[1]} (Wb/m²),      Im{B_z[1]} (Wb/m²),      Re{B_x[2]} (Wb/m²),      Im{B_x[2]} (Wb/m²),      Re{B_y[2]} (Wb/m²),      Im{B_y[2]} (Wb/m²),      Re{B_z[2]} (Wb/m²),      Im{B_z[2]} (Wb/m²),      Re{B_x[3]} (Wb/m²),      Im{B_x[3]} (Wb/m²),      Re{B_y[3]} (Wb/m²),      Im{B_y[3]} (Wb/m²),      Re{B_z[3]} (Wb/m²),      Im{B_z[3]} (Wb/m²)
 1.000000000e+00,        -6.756048116e-06,        +7.220761154e-06,        +4.043908371e-06,        -4.322067528e-06,        -3.393826924e-10,        +3.627535768e-10,        -2.611107579e-06,        +2.790711950e-06,        -5.321498973e-06,        +5.687536904e-06,        -2.156708545e-10,        +2.305312740e-10,        +3.750391812e-06,        -4.008361498e-06,        +7.112606816e-06,        -7.601845652e-06,        +1.356959958e-09,        -1.450301150e-09
 2.000000000e+00,        +2.274186344e-06,        -4.294668647e-06,        -1.409505357e-06,        +2.665286346e-06,        +4.529966253e-10,        -8.547563888e-10,        -6.702848849e-06,        +1.266486347e-05,        +3.014615607e-06,        -5.692928068e-06,        +5.066618708e-10,        -9.547547357e-10,        -2.328707021e-06,        +4.398184762e-06,        +2.257897127e-06,        -4.268775459e-06,        -1.070371570e-09,        +2.020113439e-09
 3.000000000e+00,        -2.118098091e-07,        +5.501910509e-06,        -2.593240283e-07,        +6.828767683e-06,        -7.329502234e-11,        +1.913307204e-09,        -1.446081319e-07,        +3.938666917e-06,        -2.805214977e-07,        +7.286689228e-06,        -3.165153507e-10,        +8.285576166e-09,        +1.549778196e-07,        -4.010979816e-06,        +3.303040190e-07,        -8.708106735e-06,        +2.475711480e-10,        -6.466246335e-09
 4.000000000e+00,        -8.439599930e-07,        +1.661470379e-06,        -2.638598570e-06,        +5.194503506e-06,        -1.036254546e-09,        +2.040023752e-09,        -5.337083557e-06,        +1.050690294e-05,        -1.852978357e-06,        +3.647884390e-06,        +1.277754630e-09,        -2.515432666e-09,        +1.665829270e-06,        -3.279451466e-06,        -2.566320480e-06,        +5.052212507e-06,        +1.599211310e-09,        -3.148292981e-09
 5.000000000e+00,        -4.584201015e-06,        +1.757364186e-06,        +8.575536638e-06,        -3.287980977e-06,        +1.859754691e-09,        -7.122951695e-10,        -7.502274590e-06,        +2.876076589e-06,        -1.679104398e-05,        +6.437708914e-06,        -2.505094473e-08,        +9.604693441e-09,        +2.850246119e-06,        -1.092532775e-06,        +1.493613810e-06,        -5.727145867e-07,        -7.711436975e-09,        +2.956301532e-09
