               m,            Re{I[1]} (A),            Im{I[1]} (A)
 1.000000000e+00,        -7.343003090e-03,        +8.648945849e-03
 2.000000000e+00,        +2.913037443e-04,        -2.360290416e-04
 3.000000000e+00,        -1.363771074e-05,        -2.580142874e-05
 4.000000000e+00,        -3.066347645e-05,        +2.862185540e-05
 5.000000000e+00,        +8.706694949e-06,        +1.050908752e-05
 6.000000000e+00,        +1.301677057e-05,        -1.362741445e-05
 7.000000000e+00,        -4.922542376e-06,        +7.839669687e-07
