               m,              E_elec (J),               E_mag (J),               E_cap (J),               E_ind (J)
 1.000000000e+00,        +6.671281904e-03,        +1.233213582e-05,        +0.000000000e+00,        +6.658675006e-03
 2.000000000e+00,        +6.671281904e-03,        +6.663992501e-03,        +0.000000000e+00,        +7.271325717e-06
 3.000000000e+00,        +6.671281904e-03,        +1.234856985e-07,        +0.000000000e+00,        +4.405706146e-08
 4.000000000e+00,        +6.671281904e-03,        +1.517636642e-07,        +0.000000000e+00,        +9.101389061e-08
 5.000000000e+00,        +6.671281904e-03,        +1.504611213e-07,        +0.000000000e+00,        +9.634269354e-09
 6.000000000e+00,        +6.671281904e-03,        +1.722126441e-07,        +0.000000000e+00,        +1.837093977e-08
 7.000000000e+00,        +6.671281904e-03,        +1.348429566e-07,        +0.000000000e+00,        +1.285243439e-09
