               m,             Re{f} (GHz),             Im{f} (GHz),                       Q,           Error (Bkwd.),            Error (Abs.)
 1.000000000e+00,        +1.521002506e+00,        +1.212530026e-12,        +6.272019962e+11,        +1.392689464e-17,        +2.995583160e-12
 2.000000000e+00,        +3.867222584e+00,        -1.077279257e-10,        +1.794902556e+10,        +3.369109552e-17,        +7.246735107e-12
 3.000000000e+00,        +5.913013326e+00,        -1.965810144e-11,        +1.503963478e+11,        +2.930547777e-12,        +6.303421057e-07
 4.000000000e+00,        +6.784334105e+00,        -1.268976278e-12,        +2.673152455e+12,        +3.787008247e-14,        +8.145615495e-09
 5.000000000e+00,        +6.843501582e+00,        -8.251651715e-11,        +4.146746505e+10,        +5.501092815e-13,        +1.183250340e-07
 6.000000000e+00,        +7.232512478e+00,        -1.120155348e-09,        +3.228352429e+09,        +5.787922107e-11,        +1.244945713e-05
 7.000000000e+00,        +7.331705825e+00,        +5.393002815e-11,        +6.797424437e+10,        +3.036882762e-11,        +6.532144468e-06
