               m,            Re{V[1]} (V),            Im{V[1]} (V)
 1.000000000e+00,        -8.551285433e+00,        -7.260088853e+00
 2.000000000e+00,        +5.933390167e-01,        +7.322907216e-01
 3.000000000e+00,        +9.917241944e-02,        -5.241898746e-02
 4.000000000e+00,        -1.262243973e-01,        -1.352280899e-01
 5.000000000e+00,        -4.675000657e-02,        +3.873200649e-02
 6.000000000e+00,        +6.406796820e-02,        +6.119708517e-02
 7.000000000e+00,        -3.736294419e-03,        -2.346025833e-02
