               m,                    p[1]
 1.000000000e+00,        -9.982861220e-01
 2.000000000e+00,        +9.219976519e-04
 3.000000000e+00,        +6.812764091e-08
 4.000000000e+00,        -2.555285509e-07
 5.000000000e+00,        +7.488689983e-06
 6.000000000e+00,        -2.722894848e-07
