               m,             Re{f} (GHz),             Im{f} (GHz),                       Q,           Error (Bkwd.),            Error (Abs.)
 1.000000000e+00,        +1.515753616e+00,        +6.646138191e-11,        +1.140326587e+10,        +3.303042559e-11,        +8.607812479e-06
 2.000000000e+00,        +3.887131646e+00,        -9.149906541e-11,        +2.124137350e+10,        +9.764924453e-12,        +2.544764820e-06
 3.000000000e+00,        +7.232784568e+00,        +8.449554782e-10,        +4.279979688e+09,        +3.322520279e-11,        +8.658582561e-06
 4.000000000e+00,        +7.878814687e+00,        -1.126261706e-09,        +3.497772607e+09,        +5.589416047e-11,        +1.456618105e-05
 5.000000000e+00,        +8.632726894e+00,        -5.916210287e-10,        +7.295824925e+09,        +5.619020514e-11,        +1.464333564e-05
 6.000000000e+00,        +9.521942418e+00,        -1.229515642e-09,        +3.872233134e+09,        +8.761459753e-11,        +2.283263542e-05
