               m,            Re{I[1]} (A),            Im{I[1]} (A)
 1.000000000e+00,        -1.813463561e-03,        +1.120080298e-02
 2.000000000e+00,        +2.288106829e-04,        -2.579797713e-04
 3.000000000e+00,        +1.918952972e-06,        -2.259177452e-06
 4.000000000e+00,        -4.017823583e-06,        -4.100245855e-06
 5.000000000e+00,        +2.868890867e-05,        +1.194761211e-05
 6.000000000e+00,        -5.904096717e-06,        -5.081171204e-07
