               m,            Re{V[1]} (V),            Im{V[1]} (V)
 1.000000000e+00,        -1.103611116e+01,        -1.786799169e+00
 2.000000000e+00,        +6.518582974e-01,        +5.781544089e-01
 3.000000000e+00,        +1.062170339e-02,        +9.022110803e-03
 4.000000000e+00,        +2.099950605e-02,        -2.057737844e-02
 5.000000000e+00,        -6.704515689e-02,        +1.609905281e-01
 6.000000000e+00,        +3.145050869e-03,        -3.654410325e-02
