               m,              E_elec (J),               E_mag (J),               E_cap (J),               E_ind (J)
 1.000000000e+00,        +6.671281904e-03,        +1.135792232e-05,        +0.000000000e+00,        +6.659848141e-03
 2.000000000e+00,        +6.671281904e-03,        +6.665129485e-03,        +0.000000000e+00,        +6.150906250e-06
 3.000000000e+00,        +6.671281904e-03,        +1.281106326e-07,        +0.000000000e+00,        +4.544986980e-10
 4.000000000e+00,        +6.671281904e-03,        +1.370498677e-07,        +0.000000000e+00,        +1.704702998e-09
 5.000000000e+00,        +6.671281904e-03,        +4.149834092e-07,        +0.000000000e+00,        +4.995916197e-08
 6.000000000e+00,        +6.671281904e-03,        +1.773080161e-07,        +0.000000000e+00,        +1.816519913e-09
