               m,             Re{f} (GHz),             Im{f} (GHz),                       Q,           Error (Bkwd.),            Error (Abs.)
 1.000000000e+00,        +2.247456949e+01,        +2.290687598e-10,        +4.905638270e+10,        +1.341310950e-10,        +8.144317246e-08
 2.000000000e+00,        +2.247461058e+01,        +5.828083196e-11,        +1.928130556e+11,        +8.128292657e-11,        +4.935425270e-08
 3.000000000e+00,        +2.348472000e+01,        -3.785258251e-10,        +3.102129160e+10,        +4.288436605e-11,        +2.609319845e-08
 4.000000000e+00,        +2.348506702e+01,        +1.908717577e-10,        +6.152053949e+10,        +5.572931564e-11,        +3.390879444e-08
 5.000000000e+00,        +2.456827852e+01,        +4.201933254e-09,        +2.923449402e+09,        +1.443745157e-10,        +8.805002942e-08
 6.000000000e+00,        +2.456865716e+01,        -4.499336310e-09,        +2.730253472e+09,        +1.746691989e-10,        +1.065260084e-07
 7.000000000e+00,        +2.538672312e+01,        +3.524000065e-11,        +3.601975405e+11,        +6.003893161e-11,        +3.668291666e-08
 8.000000000e+00,        +2.538720792e+01,        -2.437112634e-09,        +5.208460118e+09,        +7.185855174e-11,        +4.390458133e-08
