               m,             Re{f} (GHz),             Im{f} (GHz),                       Q,           Error (Bkwd.),            Error (Abs.)
 1.000000000e+00,        +2.062757006e+01,        +3.688232994e-11,        +2.796402788e+11,        +5.126385401e-11,        +2.982638632e-08
 2.000000000e+00,        +2.062788621e+01,        -3.599091140e-10,        +2.865707676e+10,        +4.370134928e-11,        +2.542637622e-08
 3.000000000e+00,        +2.154775922e+01,        -1.013606138e-09,        +1.062925648e+10,        +7.058178261e-11,        +4.113274166e-08
 4.000000000e+00,        +2.154808155e+01,        +1.314067560e-09,        +8.199000646e+09,        +8.384381030e-11,        +4.886144364e-08
 5.000000000e+00,        +2.172347690e+01,        -8.697505947e-10,        +1.248833691e+10,        +7.284813811e-11,        +4.246700256e-08
 6.000000000e+00,        +2.172373911e+01,        +1.673283080e-09,        +6.491352052e+09,        +7.853962999e-11,        +4.578489367e-08
 7.000000000e+00,        +2.376697182e+01,        -1.157295037e-09,        +1.026832876e+10,        +8.582898965e-11,        +5.022873099e-08
 8.000000000e+00,        +2.376737435e+01,        +1.333566170e-09,        +8.911209239e+09,        +6.203001797e-11,        +3.630115632e-08
