               m,        Re{E_x[1]} (V/m),        Im{E_x[1]} (V/m),        Re{E_y[1]} (V/m),        Im{E_y[1]} (V/m),        Re{E_z[1]} (V/m),        Im{E_z[1]} (V/m),        Re{E_x[2]} (V/m),        Im{E_x[2]} (V/m),        Re{E_y[2]} (V/m),        Im{E_y[2]} (V/m),        Re{E_z[2]} (V/m),        Im{E_z[2]} (V/m),        Re{E_x[3]} (V/m),        Im{E_x[3]} (V/m),        Re{E_y[3]} (V/m),        Im{E_y[3]} (V/m),        Re{E_z[3]} (V/m),        Im{E_z[3]} (V/m)
 1.000000000e+00,        +1.808797937e+03,        +7.071006583e+02,        +3.305363520e+01,        +1.291722343e+01,        -2.684919839e+01,        -1.049597301e+01,        +2.637407016e+03,        +1.031023064e+03,        +3.415851653e+01,        +1.334903330e+01,        -5.866386547e+01,        -2.293311835e+01,        +2.198459249e+03,        +8.594282252e+02,        +1.285610933e+01,        +5.022830891e+00,        -2.231460371e+01,        -8.723306831e+00
 2.000000000e+00,        +3.613958138e+01,        +1.492212372e+01,        -2.239650391e+03,        -9.247879788e+02,        -4.301273510e+00,        -1.776058245e+00,        +1.002921996e+02,        +4.141155523e+01,        -2.297851493e+03,        -9.488201612e+02,        -3.566961223e+01,        -1.472854554e+01,        +4.925998335e+01,        +2.033963940e+01,        -1.553470491e+03,        -6.414531636e+02,        -9.148199935e+00,        -3.777437490e+00
 3.000000000e+00,        +2.185989083e+00,        -2.459563946e+00,        +1.153248067e+01,        -1.297573265e+01,        +1.281230453e+03,        -1.441572150e+03,        +1.328299697e+01,        -1.494524745e+01,        +3.556930277e+00,        -4.002091032e+00,        -1.127197263e+03,        +1.268260855e+03,        -4.953507087e+00,        +5.573463329e+00,        +4.224157784e+00,        -4.752780143e+00,        +2.376657716e+02,        -2.674150051e+02
 4.000000000e+00,        +5.230198872e+00,        -3.190072230e+00,        +5.017264224e+00,        -3.060075569e+00,        +6.310686323e+02,        -3.848943824e+02,        -1.655637953e+01,        +1.009857202e+01,        +8.852086167e+00,        -5.399183121e+00,        -1.288276453e+02,        +7.856074257e+01,        -1.395942453e+01,        +8.514294609e+00,        -1.554977924e+00,        +9.485138684e-01,        +2.037066764e+03,        -1.242480951e+03
 5.000000000e+00,        -1.145474932e+03,        +7.205527415e+02,        +1.026587383e+03,        -6.457495728e+02,        +6.172221379e+01,        -3.882676726e+01,        +1.489230045e+03,        -9.367895418e+02,        +3.902823885e+02,        -2.454974838e+02,        -8.782808521e+01,        +5.524897646e+01,        -2.025680840e+03,        +1.274240001e+03,        -5.656919668e+02,        +3.558344186e+02,        +7.081963238e+00,        -4.454865160e+00
 6.000000000e+00,        -4.859663190e+02,        -3.188158159e+02,        -1.775390554e+03,        -1.164758290e+03,        +1.310096586e+02,        +8.594930168e+01,        +6.476523790e+02,        +4.248893203e+02,        -6.828200171e+02,        -4.479691741e+02,        -2.044306053e+02,        -1.341173706e+02,        -8.700404390e+02,        -5.707858598e+02,        +1.004952919e+03,        +6.593068352e+02,        +2.883007323e+00,        +1.891393788e+00
 7.000000000e+00,        +1.124549030e+03,        +2.308306511e+03,        -5.532891082e+02,        -1.135736959e+03,        -1.549017442e+01,        -3.179601168e+01,        +6.061584911e+02,        +1.244231004e+03,        +5.124935836e+02,        +1.051995972e+03,        -9.326871174e+00,        -1.914433324e+01,        -1.120346918e+03,        -2.299680777e+03,        -5.563294969e+02,        -1.141978462e+03,        +1.161872213e+01,        +2.384909955e+01
 8.000000000e+00,        +7.680408587e+02,        +1.113816631e+03,        +1.363061495e+03,        +1.976732849e+03,        -6.300177813e+00,        -9.136526004e+00,        +4.604706138e+02,        +6.677771340e+02,        -1.265545531e+03,        -1.835313700e+03,        -3.658755434e+01,        -5.305970422e+01,        -7.815598947e+02,        -1.133422131e+03,        +1.402899958e+03,        +2.034507129e+03,        +1.443193474e+01,        +2.092932294e+01
