               m,      Re{B_x[1]} (Wb/m²),      Im{B_x[1]} (Wb/m²),      Re{B_y[1]} (Wb/m²),      Im{B_y[1]} (Wb/m²),      Re{B_z[1]} (Wb/m²),      Im{B_z[1]} (Wb/m²),      Re{B_x[2]} (Wb/m²),      Im{B_x[2]} (Wb/m²),      Re{B_y[2]} (Wb/m²),      Im{B_y[2]} (Wb/m²),      Re{B_z[2]} (Wb/m²),      Im{B_z[2]} (Wb/m²),      Re{B_x[3]} (Wb/m²),      Im{B_x[3]} (Wb/m²),      Re{B_y[3]} (Wb/m²),      Im{B_y[3]} (Wb/m²),      Re{B_z[3]} (Wb/m²),      Im{B_z[3]} (Wb/m²)
 1.000000000e+00,        +1.174083088e-08,        -3.003877911e-08,        -3.697133772e-07,        +9.457449196e-07,        +8.691417620e-07,        -2.223298981e-06,        -1.340143030e-09,        +3.433017371e-09,        +4.796571109e-07,        -1.226986242e-06,        +3.400489784e-07,        -8.698692799e-07,        -4.564159772e-09,        +1.167570266e-08,        +2.688292421e-08,        -6.876787428e-08,        -7.613862369e-07,        +1.947675332e-06
 2.000000000e+00,        -4.510260877e-07,        +1.092294400e-06,        -5.306134831e-09,        +1.285103730e-08,        +7.056023636e-07,        -1.708828445e-06,        +4.211638857e-07,        -1.019974193e-06,        +6.698385520e-09,        -1.622300022e-08,        -6.235209756e-07,        +1.510041712e-06,        +3.030979793e-08,        -7.340427771e-08,        +1.369500171e-09,        -3.316721575e-09,        +1.034061542e-06,        -2.504287685e-06
 3.000000000e+00,        -3.182994320e-06,        -2.828963090e-06,        -1.677832157e-06,        -1.491228052e-06,        -4.052810691e-09,        -3.601972604e-09,        -4.681992285e-06,        -4.161232067e-06,        +3.016809791e-07,        +2.681483383e-07,        -7.282547131e-08,        -6.472541197e-08,        +3.740717975e-06,        +3.324656860e-06,        -9.222155781e-07,        -8.196446740e-07,        +6.718579537e-09,        +5.971341248e-09
 4.000000000e+00,        -8.429496710e-08,        -1.382688515e-07,        +2.992782330e-06,        +4.906664605e-06,        -1.411160734e-08,        -2.313622650e-08,        -4.837760451e-07,        -7.932537856e-07,        -4.715483626e-06,        -7.731080979e-06,        -7.072992824e-10,        -1.161120256e-09,        -6.215074676e-07,        -1.018890359e-06,        +6.887757583e-07,        +1.129236178e-06,        -5.611160306e-09,        -9.199395826e-09
 5.000000000e+00,        -2.687126444e-07,        -4.271913958e-07,        -3.882411546e-07,        -6.171923849e-07,        +1.304741770e-06,        +2.074190115e-06,        +1.085153107e-07,        +1.725150215e-07,        -5.283051793e-07,        -8.398533322e-07,        -4.207382289e-07,        -6.688605620e-07,        -1.735468273e-08,        -2.758969152e-08,        +2.099067944e-08,        +3.336931152e-08,        -1.606827037e-06,        -2.554424794e-06
 6.000000000e+00,        -6.174135039e-07,        +9.410974779e-07,        +2.324035376e-07,        -3.542479191e-07,        +4.456116474e-07,        -6.792156832e-07,        +2.758549478e-07,        -4.204741260e-07,        +3.536656513e-07,        -5.390845507e-07,        -1.131105581e-07,        +1.724058930e-07,        -2.492001641e-08,        +3.798437271e-08,        -6.430047233e-09,        +9.801293971e-09,        -5.467313981e-07,        +8.333455870e-07
 7.000000000e+00,        -5.413436181e-07,        +2.637226565e-07,        -1.022348206e-06,        +4.980623428e-07,        -2.827577854e-07,        +1.377424215e-07,        -5.264165405e-07,        +2.564509604e-07,        +6.769781989e-07,        -3.298067891e-07,        -4.812971756e-06,        +2.344745763e-06,        +2.887231002e-08,        -1.406549262e-08,        -1.984908409e-08,        +9.669999236e-09,        -2.224340554e-07,        +1.083747861e-07
 8.000000000e+00,        +9.193676835e-07,        -6.339524811e-07,        -4.871976797e-07,        +3.359509914e-07,        +1.762082498e-06,        -1.215050117e-06,        +8.761232025e-07,        -6.041330639e-07,        +3.142855914e-07,        -2.167181300e-07,        +1.918407821e-07,        -1.322754068e-07,        -4.765442404e-08,        +3.286025536e-08,        -1.415446956e-08,        +9.760299972e-09,        -2.077340519e-06,        +1.432438465e-06
