               m,            Re{I[1]} (A),            Im{I[1]} (A)
 1.000000000e+00,        +8.200765028e-03,        -7.839167478e-03
 2.000000000e+00,        +2.863792603e-04,        +2.705475194e-04
 3.000000000e+00,        -8.048380505e-07,        -3.882825513e-06
 4.000000000e+00,        +7.753285003e-07,        +4.606833731e-06
 5.000000000e+00,        +2.614587056e-06,        +8.801525051e-07
 6.000000000e+00,        +2.681859929e-06,        -1.348290730e-06
