               m,                    p[1]
 1.000000000e+00,        +9.979639976e-01
 2.000000000e+00,        +1.203472453e-03
 3.000000000e+00,        -1.219227886e-07
 4.000000000e+00,        +1.692210995e-07
 5.000000000e+00,        +5.901272598e-08
 6.000000000e+00,        +6.986448939e-08
