               m,              E_elec (J),               E_mag (J),               E_cap (J),               E_ind (J)
 1.000000000e+00,        +6.671281904e-03,        +1.354707684e-05,        +0.000000000e+00,        +6.657699158e-03
 2.000000000e+00,        +6.671281904e-03,        +6.663244091e-03,        +0.000000000e+00,        +8.028704000e-06
 3.000000000e+00,        +6.671281904e-03,        +1.004720514e-07,        +0.000000000e+00,        +8.133812935e-10
 4.000000000e+00,        +6.671281904e-03,        +1.134477358e-07,        +0.000000000e+00,        +1.128921659e-09
 5.000000000e+00,        +6.671281904e-03,        +1.170028073e-07,        +0.000000000e+00,        +3.936905309e-10
 6.000000000e+00,        +6.671281904e-03,        +1.249233831e-07,        +0.000000000e+00,        +4.660857038e-10
