               m,            Re{V[1]} (V),            Im{V[1]} (V)
 1.000000000e+00,        +8.700698313e+00,        +9.102035726e+00
 2.000000000e+00,        -7.359769064e-01,        +7.790443707e-01
 3.000000000e+00,        +2.232678810e-02,        -4.627931013e-03
 4.000000000e+00,        -2.776311094e-02,        +4.672521830e-03
 5.000000000e+00,        -5.396601121e-03,        +1.603118023e-02
 6.000000000e+00,        +8.472039662e-03,        +1.685157598e-02
