               m,        Re{E_x[1]} (V/m),        Im{E_x[1]} (V/m),        Re{E_y[1]} (V/m),        Im{E_y[1]} (V/m),        Re{E_z[1]} (V/m),        Im{E_z[1]} (V/m),        Re{E_x[2]} (V/m),        Im{E_x[2]} (V/m),        Re{E_y[2]} (V/m),        Im{E_y[2]} (V/m),        Re{E_z[2]} (V/m),        Im{E_z[2]} (V/m),        Re{E_x[3]} (V/m),        Im{E_x[3]} (V/m),        Re{E_y[3]} (V/m),        Im{E_y[3]} (V/m),        Re{E_z[3]} (V/m),        Im{E_z[3]} (V/m)
 1.000000000e+00,        +1.908114931e+00,        +1.785312339e+00,        -2.820656985e+00,        -2.639124285e+00,        +2.699238742e+03,        +2.525521395e+03,        +1.898757906e-01,        +1.776553285e-01,        -3.964162681e+00,        -3.709037889e+00,        +4.079038385e+03,        +3.816520026e+03,        -1.623431339e+00,        -1.518950040e+00,        -1.705640965e-01,        -1.595936588e-01,        +2.191543233e+03,        +2.050500104e+03
 2.000000000e+00,        -4.486324662e+00,        -2.374695201e+00,        +9.565897981e+00,        +5.062605426e+00,        -5.991395798e+03,        -3.171603830e+03,        +1.351065103e+00,        +7.168821193e-01,        +2.028164490e+00,        +1.070913188e+00,        -3.730508981e+02,        -1.962856917e+02,        +4.422396144e+00,        +2.343538501e+00,        -1.323155366e+00,        -7.004615443e-01,        +1.093392050e+03,        +5.776501958e+02
 3.000000000e+00,        -3.048633815e-03,        +3.303491724e-02,        -1.293812799e-01,        +4.182691258e+00,        -4.814754995e+01,        +1.423011166e+03,        +3.068498486e-01,        -9.583055409e+00,        -4.617238362e-01,        +1.447631778e+01,        +2.065850947e+02,        -6.469610398e+03,        +4.764711143e-01,        -1.484790529e+01,        -1.589203848e-02,        +4.786250578e-01,        -1.929066921e+02,        +6.051641814e+03
 4.000000000e+00,        +6.813560630e+00,        +4.106663741e+00,        -1.117771828e+01,        -6.737018470e+00,        +5.336806874e+03,        +3.216594233e+03,        +5.583682323e+00,        +3.365390450e+00,        +1.145144432e+01,        +6.902001650e+00,        -2.718662885e+03,        -1.638589434e+03,        +1.491501548e+01,        +8.989560952e+00,        +3.897077483e-01,        +2.348852176e-01,        -5.212975694e+03,        -3.141958840e+03
 5.000000000e+00,        +6.372372219e-01,        +2.106895116e+00,        +7.893294408e-01,        +2.611305200e+00,        -1.014627771e+03,        -3.355467732e+03,        -3.080458581e+00,        -1.018723577e+01,        -3.693786761e+00,        -1.221593065e+01,        +6.085198906e+02,        +2.012515063e+03,        +8.824990858e+00,        +2.918189035e+01,        -7.677628997e-01,        -2.538730718e+00,        -1.476790284e+03,        -4.883476835e+03
